City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
53,Carballo,ES,69.22,clear sky,43.213,-8.691,Pazo do Souto
54,Port Alfred,ZA,65.93,overcast clouds,-33.5906,26.891,The Halyards Hotel
55,Hervey Bay,AU,66.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
57,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
59,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
60,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
62,Dongzhen,CN,77.72,heavy intensity rain,22.3797,110.9389,茂名中汇时尚酒店
63,Jamestown,US,65.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
66,Timbiqui,CO,75.47,moderate rain,2.7717,-77.6654,Hotel Sharey
67,Ariquemes,BR,70.95,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
72,Bethel,US,82.76,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
74,Haimen,CN,84.09,light rain,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
75,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
76,Monforte De Lemos,ES,76.57,clear sky,42.5216,-7.5142,Hotel Cardenal
80,Dingle,PH,79.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
84,Seoul,KR,80.17,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
87,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,hotel la terminal
88,Vao,NC,67.48,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
90,Roebourne,AU,67.46,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
93,Mahibadhoo,MV,81.21,broken clouds,3.7833,72.9667,Omadhoo Inn
94,Tanete,ID,75.7,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
95,Ponta Do Sol,PT,71.71,few clouds,32.6667,-17.1,Hotel do Campo
96,Kavaratti,IN,80.56,overcast clouds,10.5669,72.642,Green leaf
97,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
99,Hithadhoo,MV,81.54,scattered clouds,-0.6,73.0833,Scoop Guest House
101,Hohhot,CN,71.89,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
103,Ribeira Grande,PT,73.72,few clouds,38.5167,-28.7,Quinta da Meia Eira
105,Bati,ET,66.34,light rain,11.1833,40.0167,Meqdela Hotel
107,Sao Jose Da Coroa Grande,BR,73.89,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
111,Sao Filipe,CV,79.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
112,Morondava,MG,66.79,clear sky,-20.2833,44.2833,La Case Bambou
113,Butaritari,KI,81.82,clear sky,3.0707,172.7902,Isles Sunset Lodge
114,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
115,Taltal,CL,67.17,clear sky,-25.4,-70.4833,Residencial Karime
119,Puerto Del Rosario,ES,71.35,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
121,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
123,Samarinda,ID,80.15,light rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
126,Labuhan,ID,80.85,broken clouds,-6.8844,112.2051,DoubleFAG
